Promedio_Anual,Calificacion_Cualitativa,Edad,Genero,Anio_Escolar,Periodo_Lectivo,Numero_Inasistencias,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral,Animacion_Lectura,Orientacion_Vocacional,Participacion_Extracurriculares,Materias_Refuerzo,Cantidad_Proyectos,Tareas_Refuerzo_Porc,Acceso_Transporte_Privado,Uso_Comedor_Estudiantil,Acceso_Recursos_Tecnologicos,Participacion_Eventos_Culturales,Estrato_Socioeconomico,Categoria_Rendimiento
6.34,C+,18,Femenino,Segundo de Bachillerato,2023-2024,8,0,0,D+,A-,C+,1,0,2,0,Si,Nunca,No,3,Media,Bajo
6.15,C+,14,Femenino,Noveno,2022-2023,6,0,0,B-,B-,B-,1,0,0,0,Si,Ocasional,Si,2,Media,Bueno
6.21,C+,14,Femenino,Octavo,2022-2023,5,0,1,A-,B-,C+,3,0,0,0,Si,Diario,Si,0,Baja,Sobresaliente
5.59,C+,14,Femenino,Noveno,2023-2024,5,0,1,D+,D-,C+,1,0,4,0,Si,Diario,Si,2,Media,Sobresaliente
6.86,B-,13,Femenino,Octavo,2023-2024,4,0,0,C-,B+,A-,3,0,3,0,No,Diario,Si,0,Media,Bajo
7.19,B-,14,Femenino,Octavo,2022-2023,6,50,1,A-,B-,B-,1,3,2,77,No,Ocasional,No,1,Media,Bueno
7.86,B+,15,Masculino,Decimo,2023-2024,6,98,0,B-,C+,A+,3,1,0,55,Si,Ocasional,Si,1,Media,Bueno
6.12,C+,16,Femenino,Primero de Bachillerato,2022-2023,9,0,0,C-,D-,C+,3,0,3,0,Si,Ocasional,Si,0,Alta,Bajo
7.17,B-,18,Femenino,Segundo de Bachillerato,2022-2023,9,0,0,D+,C-,A+,4,0,4,0,Si,Diario,Si,1,Media,Bajo
6.95,B-,15,Femenino,Decimo,2022-2023,8,86,0,B-,B-,B-,1,3,1,54,No,Diario,Si,0,Baja,Sobresaliente
5.43,C-,13,Femenino,Octavo,2022-2023,5,0,0,C-,C+,B+,1,0,3,0,Si,Ocasional,Si,0,Media,Sobresaliente
6.8,B-,13,Femenino,Octavo,2022-2023,6,90,0,B+,C+,C+,2,1,1,73,No,Ocasional,No,1,Media,Bueno
5.03,C-,14,Femenino,Octavo,2023-2024,5,94,1,C+,C-,C+,0,3,4,90,Si,Ocasional,No,0,Baja,Bajo
7.93,B+,18,Femenino,Segundo de Bachillerato,2023-2024,8,60,0,D+,B+,C+,4,2,4,67,Si,Ocasional,Si,3,Media,Bueno
5.28,C-,15,Femenino,Decimo,2023-2024,7,0,0,C-,B-,C+,0,0,0,0,No,Ocasional,Si,0,Media,Bueno
6.03,C+,14,Femenino,Noveno,2023-2024,6,0,0,B-,C+,B+,2,0,1,0,Si,Diario,Si,0,Media,Bueno
4.4,D+,18,Femenino,Segundo de Bachillerato,2023-2024,9,0,2,E+,B-,E+,2,0,3,0,Si,Ocasional,No,3,Media,MuyBajo
5.18,C-,15,Femenino,Decimo,2023-2024,7,0,2,C+,B+,D+,1,0,1,0,Si,Nunca,Si,1,Alta,Bueno
6.58,B-,16,Femenino,Primero de Bachillerato,2023-2024,8,0,0,C+,C-,C-,4,0,3,0,No,Diario,Si,2,Baja,Bajo
