Promedio_Anual,Calificacion_Cualitativa_Cod,Edad,Genero_Cod,Anio_Escolar_Cod,Periodo_Cod,Numero_Inasistencias,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral_Cod,Animacion_Lectura_Cod,Orientacion_Vocacional_Cod,Participacion_Extracurriculares,Materias_Refuerzo,Cantidad_Proyectos,Tareas_Refuerzo_Porc,Acceso_Transporte_Privado_Cod,Uso_Comedor_Estudiantil_Cod,Acceso_Recursos_Tecnologicos_Cod,Participacion_Eventos_Culturales,Estrato_Socioeconomico_Cod,Categoria_Rendimiento_Cod
6.34,6,18,1,4,1,8,0,0,4,9,6,1,0,2,0,1,0,0,3,1,1
6.15,6,14,1,1,0,6,0,0,7,7,7,1,0,0,0,1,1,1,2,1,3
6.21,6,14,1,0,0,5,0,1,9,7,6,3,0,0,0,1,2,1,0,0,4
5.59,6,14,1,1,1,5,0,1,4,3,6,1,0,4,0,1,2,1,2,1,4
6.86,7,13,1,0,1,4,0,0,5,8,9,3,0,3,0,0,2,1,0,1,1
7.19,7,14,1,0,0,6,50,1,9,7,7,1,3,2,77,0,1,0,1,1,3
7.86,8,15,0,2,1,6,98,0,7,6,10,3,1,0,55,1,1,1,1,1,3
6.12,6,16,1,3,0,9,0,0,5,3,6,3,0,3,0,1,1,1,0,2,1
7.17,7,18,1,4,0,9,0,0,4,5,10,4,0,4,0,1,2,1,1,1,1
6.95,7,15,1,2,0,8,86,0,7,7,7,1,3,1,54,0,2,1,0,0,4
5.43,5,13,1,0,0,5,0,0,5,6,8,1,0,3,0,1,1,1,0,1,4
6.8,7,13,1,0,0,6,90,0,8,6,6,2,1,1,73,0,1,0,1,1,3
5.03,5,14,1,0,1,5,94,1,6,5,6,0,3,4,90,1,1,0,0,0,1
7.93,8,18,1,4,1,8,60,0,4,8,6,4,2,4,67,1,1,1,3,1,3
5.28,5,15,1,2,1,7,0,0,5,7,6,0,0,0,0,0,1,1,0,1,3
6.03,6,14,1,1,1,6,0,0,7,6,8,2,0,1,0,1,2,1,0,1,3
4.4,4,18,1,4,1,9,0,2,2,7,2,2,0,3,0,1,1,0,3,1,0
5.18,5,15,1,2,1,7,0,2,6,8,4,1,0,1,0,1,0,1,1,2,3
6.58,7,16,1,3,1,8,0,0,6,5,5,4,0,3,0,0,2,1,2,0,1
5.82,6,14,1,1,0,6,0,0,7,5,8,1,0,3,0,0,2,1,2,1,0
4.96,5,14,0,1,1,5,57,2,7,6,5,2,3,3,60,1,2,1,2,1,3
6.58,7,14,0,0,1,4,0,0,5,3,6,4,0,4,0,1,2,1,1,1,3
9.37,9,13,0,0,0,7,66,1,9,7,7,1,3,4,96,1,0,1,0,2,3
7.65,8,14,1,1,1,6,0,0,10,6,6,0,0,3,0,0,1,1,1,1,1
7.57,8,17,1,4,0,10,50,0,8,9,10,3,3,4,98,0,2,1,1,0,2
6.88,7,15,1,2,1,7,0,0,5,8,5,1,0,2,0,1,1,0,0,1,3
6.54,7,16,1,3,0,8,0,0,6,4,5,3,0,0,0,0,1,1,1,1,3
5.89,6,15,1,2,0,8,69,1,5,5,5,1,1,0,65,1,2,1,2,1,1
5.63,6,14,1,1,0,7,54,1,9,8,5,1,1,4,92,0,1,1,1,1,3
5.66,6,18,1,5,1,10,0,1,7,6,4,4,0,4,0,1,2,1,1,1,0
5.49,5,14,0,0,1,6,62,2,7,7,4,3,2,2,92,0,2,0,2,1,1
6.99,7,18,1,5,1,10,57,0,6,6,4,2,1,0,54,1,0,0,2,1,3
4.59,5,14,1,0,0,5,0,0,2,9,1,1,0,0,0,0,1,0,0,1,1
6.99,7,18,1,4,1,8,0,2,9,4,10,2,0,0,0,0,0,1,1,1,1
7.08,7,18,1,5,1,9,0,0,9,8,4,2,0,3,0,0,0,0,2,0,1
6.97,7,17,0,4,1,10,0,1,8,7,6,3,0,4,0,0,1,0,3,1,3
5.62,6,18,1,4,0,10,0,1,5,6,8,2,0,3,0,1,1,1,2,1,0
4.14,4,14,1,1,1,5,0,1,8,3,3,0,0,3,0,1,1,0,2,1,3
6.58,7,15,1,2,0,8,76,0,8,8,6,3,3,0,53,1,0,1,2,2,1
7.08,7,13,0,0,0,6,96,0,8,7,7,3,1,1,65,0,2,0,0,1,0
9.25,9,17,0,3,1,8,0,1,8,5,8,3,0,1,0,1,0,1,1,2,1
7.06,7,17,1,4,1,9,0,0,8,6,8,2,0,3,0,1,1,1,1,1,1
7.78,8,18,0,4,1,8,0,0,6,9,6,2,0,4,0,1,2,1,3,1,3
6.73,7,18,1,5,1,9,0,0,8,8,8,2,0,3,0,1,0,1,1,1,1
7.6,8,18,1,5,0,11,0,1,8,5,8,2,0,0,0,0,1,1,2,1,4
5.59,6,14,1,1,1,6,0,1,6,7,8,0,0,2,0,0,2,1,1,1,1
6.52,7,18,0,5,0,11,0,1,6,5,7,5,0,4,0,0,0,0,3,0,1
6.62,7,16,0,2,1,8,0,1,8,8,8,4,0,1,0,0,2,1,0,0,1
5.99,6,16,1,3,0,8,0,0,6,5,8,1,0,4,0,1,1,0,2,1,1
6.39,6,14,1,1,0,7,53,0,5,4,8,0,3,4,80,1,1,1,2,1,3
7.6,8,17,1,4,0,9,0,1,7,8,5,1,0,0,0,0,1,0,1,0,1
6.5,6,15,0,1,0,6,0,0,3,7,8,2,0,0,0,0,1,1,1,0,1
8.24,8,16,1,2,1,6,0,0,6,6,7,0,0,0,0,0,0,0,2,0,3
6.52,7,14,0,1,1,7,87,0,4,6,7,3,2,2,63,1,0,1,2,2,1
5.64,6,13,0,0,0,6,0,0,6,6,10,4,0,2,0,1,0,1,0,1,2
6.72,7,15,1,2,0,8,0,1,8,8,10,0,0,3,0,0,2,0,0,1,1
6.25,6,15,1,1,0,6,54,0,3,4,7,1,3,2,66,0,1,1,0,1,1
5.82,6,13,0,0,0,5,73,0,8,5,6,3,1,2,78,1,2,0,2,1,0
6.63,7,15,1,1,1,5,92,1,9,10,8,2,3,2,56,1,1,1,0,1,1
5.46,5,13,1,0,1,4,97,0,3,7,5,1,2,1,68,0,1,0,2,1,1
