Edad,Genero_Cod,Numero_Inasistencias,Animacion_Lectura_Cod,Anio_Escolar_Cod,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral_Cod,Orientacion_Vocacional_Cod,Participacion_Extracurriculares,Promedio_Anual,Promedio_5CAT
18,1,8,9,4,0.0,0,4,6,1,6.34,B
14,1,6,7,1,0.0,0,7,7,1,6.15,B
14,1,5,7,0,0.0,1,9,6,3,6.21,B
14,1,5,3,1,0.0,1,4,6,1,5.59,C
13,1,4,8,0,0.0,0,5,9,3,6.86,B
14,1,6,7,0,50.0,1,9,7,1,7.19,B
15,0,6,6,2,98.0,0,7,10,3,7.86,B
16,1,9,3,3,0.0,0,5,6,3,6.12,B
18,1,9,5,4,0.0,0,4,10,4,7.17,B
15,1,8,7,2,86.0,0,7,7,1,6.95,B
13,1,5,6,0,0.0,0,5,8,1,5.43,C
13,1,6,6,0,90.0,0,8,6,2,6.8,B
14,1,5,5,0,94.0,1,6,6,0,5.03,C
18,1,8,8,4,60.0,0,4,6,4,7.93,B
15,1,7,7,2,0.0,0,5,6,0,5.28,C
14,1,6,6,1,0.0,0,7,8,2,6.03,B
18,1,9,7,4,0.0,2,2,2,2,4.4,C
15,1,7,8,2,0.0,2,6,4,1,5.18,C
16,1,8,5,3,0.0,0,6,5,4,6.58,B
14,1,6,5,1,0.0,0,7,8,1,5.82,C
14,0,5,6,1,57.0,2,7,5,2,4.96,C
14,0,4,3,0,0.0,0,5,6,4,6.58,B
13,0,7,7,0,66.0,1,9,7,1,9.37,A
14,1,6,6,1,0.0,0,10,6,0,7.65,B
17,1,10,9,4,50.0,0,8,10,3,7.57,B
15,1,7,8,2,0.0,0,5,5,1,6.88,B
16,1,8,4,3,0.0,0,6,5,3,6.54,B
15,1,8,5,2,69.0,1,5,5,1,5.89,C
14,1,7,8,1,54.0,1,9,5,1,5.63,C
18,1,10,6,5,0.0,1,7,4,4,5.66,C
14,0,6,7,0,62.0,2,7,4,3,5.49,C
18,1,10,6,5,57.0,0,6,4,2,6.99,B
14,1,5,9,0,0.0,0,2,1,1,4.59,C
18,1,8,4,4,0.0,2,9,10,2,6.99,B
18,1,9,8,5,0.0,0,9,4,2,7.08,B
17,0,10,7,4,0.0,1,8,6,3,6.97,B
18,1,10,6,4,0.0,1,5,8,2,5.62,C
14,1,5,3,1,0.0,1,8,3,0,4.14,C
15,1,8,8,2,76.0,0,8,6,3,6.58,B
13,0,6,7,0,96.0,0,8,7,3,7.08,B
17,0,8,5,3,0.0,1,8,8,3,9.25,A
